Feature,Importance
"cat__Lat Long_40.965011, -124.015255",8.916543316834122e-05
"cat__Lat Long_38.636102, -120.522149",8.882511987920493e-05
"cat__Lat Long_37.959706, -121.287669",8.835771223809513e-05
"cat__Lat Long_34.105935, -117.2914",8.824629565314688e-05
"cat__Lat Long_33.840524, -118.148403",8.786626672131844e-05
"cat__Lat Long_37.171727, -122.142961",8.775723855305952e-05
cat__City_Lake Elsinore,8.773873205613837e-05
"cat__Lat Long_32.853743, -117.25034",8.705224383656717e-05
"cat__Lat Long_33.745746, -116.514215",8.694953825148384e-05
"cat__Lat Long_35.453912, -120.69461",8.689275773854378e-05
"cat__Lat Long_37.223, -119.001021",8.668726614548032e-05
"cat__Lat Long_39.58458, -121.093256",8.664731038225784e-05
"cat__Lat Long_34.147149, -118.463365",8.660094252343799e-05
cat__City_Yorba Linda,8.650699358545725e-05
"cat__Lat Long_32.79697, -116.969082",8.645374163570303e-05
"cat__Lat Long_38.071327, -120.632221",8.640846200751358e-05
"cat__Lat Long_34.245289, -117.642503",8.631197335161688e-05
"cat__Lat Long_33.3249, -114.758334",8.616190497615767e-05
cat__City_Walnut Creek,8.592114652362233e-05
cat__City_Rough And Ready,8.590179477642566e-05
cat__City_Herald,8.561733937876708e-05
"cat__Lat Long_37.422961, -120.765493",8.531393614197481e-05
cat__City_Duarte,8.518584916342593e-05
cat__City_Tuolumne,8.51161569143157e-05
"cat__Lat Long_33.976678, -118.065875",8.504925110917808e-05
cat__City_Alviso,8.501817448914621e-05
"cat__Lat Long_36.64545, -118.924982",8.491491974532098e-05
cat__City_Los Alamos,8.474878360150106e-05
cat__City_Los Gatos,8.470400478978332e-05
"cat__Lat Long_34.139082, -118.39275",8.460748114229687e-05
cat__City_Aguanga,8.455069879574712e-05
cat__City_Hornitos,8.450006972211727e-05
cat__City_Biola,8.447987382117367e-05
cat__City_Madera,8.430330939692721e-05
cat__City_Spring Valley,8.42699033672349e-05
"cat__Lat Long_38.265899, -121.939461",8.422924269618218e-05
cat__City_Tahoe Vista,8.410588568583706e-05
"cat__Lat Long_38.694081, -121.694431",8.410207275041239e-05
"cat__Lat Long_38.326215, -122.718742",8.399718225511327e-05
"cat__Lat Long_37.375156, -121.795867",8.368323525344574e-05
"cat__Lat Long_40.342928, -124.063329",8.353183658415966e-05
"cat__Lat Long_37.424655, -121.74841",8.344800031989986e-05
"cat__Lat Long_36.523619, -119.386868",8.339170582007199e-05
"cat__Lat Long_36.687292, -120.437354",8.33308114977898e-05
cat__City_Rancho Cucamonga,8.31628121006395e-05
cat__Churn Reason_Deceased,8.303914436518966e-05
"cat__Lat Long_33.22784, -117.200024",8.28683399558338e-05
cat__City_Camp Nelson,8.246377953891707e-05
cat__City_Hathaway Pines,8.23409387851744e-05
cat__City_Tarzana,8.228619860613499e-05
"cat__Lat Long_34.223244, -119.18012",8.20842318735989e-05
cat__City_Seeley,8.200299468980445e-05
"cat__Lat Long_39.225634, -121.156163",8.180397543432e-05
cat__City_Elk,8.17940012295703e-05
"cat__Lat Long_34.002028, -118.430656",8.173464292169494e-05
cat__City_Twentynine Palms,8.153776988793075e-05
"cat__Lat Long_37.621458, -121.012295",8.120099444383641e-05
cat__City_North Hollywood,8.115960794792751e-05
"cat__Lat Long_38.724322, -120.991237",8.094433642551642e-05
cat__City_Santa Maria,8.090624297223256e-05
"cat__Lat Long_35.846067, -119.004073",8.08973205629253e-05
"cat__Lat Long_38.549185, -121.328386",8.051190682224665e-05
"cat__Lat Long_34.129677, -117.154277",8.045560199326703e-05
"cat__Lat Long_34.845861, -118.885163",8.041436928431376e-05
cat__City_Newport Beach,8.041340843081465e-05
"cat__Lat Long_37.410567, -122.297152",8.038005173567462e-05
